"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSMUSG00000025574",274.731000557712,13.0024668347127,3.01526863015748,2.54692342447874e-18,3.67845577491854e-16,"Tk1","21877"
"ENSMUSG00000029661",2136.59802485376,3.56328642864923,0.421819048094229,2.64681238023466e-18,3.7921410334098e-16,"Col1a2","12843"
"ENSMUSG00000008036",1300.90370327559,1.14595149395658,0.133022284879231,3.29052947411391e-18,4.67699145650048e-16,"Ap2s1","232910"
"ENSMUSG00000017057",286.245332480719,12.4559215320114,2.93559793802123,4.68575884300565e-18,6.58318111301528e-16,"Il13ra1","16164"
"ENSMUSG00000031434",119.295437057733,12.1164647893981,2.95930023543922,4.70516043590349e-18,6.58318111301528e-16,"Morc4","75746"
"ENSMUSG00000029648",38.9264373813958,0.538088957016319,1.24543878277122,4.79299049975467e-18,6.65408270233383e-16,"Flt1","14254"
"ENSMUSG00000037190",170.829047159584,2.59611621630592,0.310196583162245,5.80743081678525e-18,8.00040603829285e-16,"Cyb561d2","56368"
"ENSMUSG00000018326",3473.71437060499,1.61851777330475,0.19054291845321,6.094907079385e-18,8.33234281562641e-16,"Ywhab","54401"
"ENSMUSG00000022565",2469.97245953379,1.62407811548499,0.191563398227379,6.82670613684818e-18,9.26208183369804e-16,"Plec","18810"
"ENSMUSG00000040097",561.398973532155,-1.94996868300892,0.231486430782729,7.52788540630655e-18,1.01366090031236e-15,"Flywch1","224613"
"ENSMUSG00000048332",1066.43451187718,3.02039522952656,0.371103516202843,8.73654552173131e-18,1.1676327891693e-15,"Lhfp","108927"
"ENSMUSG00000021373",83.574652658923,11.1374460331247,2.82040881071928,1.64622749189007e-17,2.18387319646365e-15,"Cap2","67252"
"ENSMUSG00000020808",352.844939934208,9.94065251784854,1.19387849719918,1.82529340557083e-17,2.40361614708588e-15,"Pimreg","109212"
"ENSMUSG00000031328",3577.11027941645,1.99669131811016,0.240256581465999,1.96287177205346e-17,2.56591755954054e-15,"Flna","192176"
"ENSMUSG00000039116",93.7202020836029,12.1297888070086,3.1706208386908,1.99320182619461e-17,2.58668489168981e-15,"Adgrg6","215798"
"ENSMUSG00000038388",148.048176464826,11.618102324971,2.87958017746974,2.04885148658377e-17,2.63977563116753e-15,"Mpp6","56524"
"ENSMUSG00000029581",534.063973547188,4.60471388092362,0.610668048196016,2.1260421143279e-17,2.71966344467845e-15,"Fscn1","14086"
"ENSMUSG00000042489",95.0121348809224,10.9967414236158,2.79487397170566,2.57171104240504e-17,3.26643780556254e-15,"Clspn","269582"
"ENSMUSG00000042331",79.0631261474697,11.17803239182,2.8303481402255,2.74752319475899e-17,3.46516851372808e-15,"Specc1","432572"
"ENSMUSG00000036111",543.658564831024,7.04168277690108,0.856133007487198,2.92011469543975e-17,3.65708629934479e-15,"Lmo1","109594"
"ENSMUSG00000017716",525.940742767462,11.8247057281903,1.65097919927263,2.97406827696057e-17,3.69879088695047e-15,"Birc5","11799"
"ENSMUSG00000009687",426.435534178032,8.16890147744433,1.00203831957846,3.39600350819425e-17,4.19441564332765e-15,"Fxyd5","18301"
"ENSMUSG00000041959",10234.8392444922,2.30986746111684,0.281605620899576,3.45808352254381e-17,4.24183683597514e-15,"S100a10","20194"
"ENSMUSG00000041439",94.2031200862915,10.9896985960881,2.79712248629732,3.59771639438059e-17,4.38309543584776e-15,"Mfsd6","98682"
"ENSMUSG00000027994",624.87801266459,8.32909771637024,1.06469578418024,4.61436839760528e-17,5.58369754275087e-15,"Mcub","66815"
"ENSMUSG00000012422",2097.74063136744,1.65550788983677,0.200193412614275,4.82892495693558e-17,5.80410852709794e-15,"Tmem167","66074"
"ENSMUSG00000053411",347.233385806089,-2.66196502752324,0.332972757707317,6.45169483537641e-17,7.70289352045041e-15,"Cbx7","52609"
"ENSMUSG00000021678",251.838806865872,10.756831310172,1.56899896450052,6.54121893359386e-17,7.75805893256506e-15,"F2rl1","14063"
"ENSMUSG00000017499",248.322601133475,12.0206990576197,2.91222564355881,6.87396649178323e-17,8.09907012508854e-15,"Cdc6","23834"
