gene	Foxj1_tdT_Uninj_rep1	Foxj1_tdT_Uninj_rep2	Foxj1_tdT_1dpi_rep1	Foxj1_tdT_1dpi_rep2	Foxj1_tdT_5dpi_rep1	Foxj1_tdT_5dpi_rep2	Foxj1_Olig2_tdT_Uninj_rep1	Foxj1_Olig2_tdT_Uninj_rep2	Foxj1_Olig2_tdT_1dpi_rep1	Foxj1_Olig2_tdT_1dpi_rep2	Foxj1_Olig2_tdT_5dpi_rep1	Foxj1_Olig2_tdT_5dpi_rep2
83	1700088E04Rik	3971,3	3945,7	2160,5	1319,2	2297,6	1868	4736,5	3657,3	2893,5	3098,5	719,1	675,5
84	1700092M07Rik	51,5	65,2	0	6,9	0	9,3	0	0	12,2	9	0	0
85	1700109H08Rik	105,1	115,8	4,2	40,5	26,1	12,5	168,9	43,4	0,7	22,7	18	7,2
86	1700123O20Rik	755,6	881,9	395,1	774,5	777,6	507,5	404,2	765,8	409,2	601,9	792,2	707,1
87	1700125H20Rik	0	0	0	0	5,1	18,9	0	0	0	11,4	0	6,7
88	1700128F08Rik	12,3	18,9	12,8	10	14,4	14,1	34,7	29	21,2	4,7	3,6	7,7
89	1810009A15Rik	1647,9	1726,3	1877,7	1865,6	1170,2	1653,4	1837,3	2059,9	2010,5	2227	1230,2	1145,3
90	1810010H24Rik	517	508,4	162,3	186,3	95,8	140,8	763,9	600,7	328	190,5	15,4	0,8
91	1810011O10Rik	100,9	94,8	606,7	1602,2	1530,7	1938,2	165,3	1	1330,5	1038,2	1003,1	1850,8
92	1810013L24Rik	174,7	155,4	537,5	574,1	587,6	550,1	492,5	237,5	375,9	274,3	313,7	470
93	1810014B01Rik	638,7	795,1	339,1	430,8	248,9	242,5	437,1	593,6	184,2	400,2	359,3	134,1
94	1810022K09Rik	1805,8	1819,4	3228,1	3887,8	2682,4	2259,1	2067,5	2175,2	2286,3	2318,5	3900,8	3762,3
95	1810024B03Rik	118,8	153,5	50,2	26,8	67	67,9	62,7	144,6	205,5	62,2	93,1	134,9
96	1810030O07Rik	592,7	587,9	687,8	725	756,8	598,1	858,7	485,6	1042,8	733,2	922,5	963,1
97	1810032O08Rik	71,8	78,6	160,2	154,2	75,9	71,4	79,4	81,6	99,5	69,6	180,1	145,5
98	1810037I17Rik	1881	1945,5	2995	3130,8	3726,2	3250,8	2004,7	2264,3	3292,7	3585,9	3960	3705,6
99	1810041L15Rik	107,5	113,6	88	0	40,6	18,6	223,4	160,1	46	49,8	46,3	17,4
100	1810043G02Rik	979,8	968	851	795,1	720,1	604	998,3	1018,1	635,8	904,3	350	606,3
101	1810049J17Rik	9	9,8	6,5	4,4	4,1	2	4,2	8,9	3,2	6,8	6,3	5,7
102	1810055G02Rik	28	50,5	531,1	545,6	334	493,3	134,7	204,8	328,9	464,2	468,1	645,8
103	1810062G17Rik	168,5	181,1	22,5	58,7	19,5	143	62,1	76,8	18	19,1	7,2	23,3
104	2010107E04Rik	1850,3	1789,8	3332,8	3083,3	3980,6	3522	2813,7	2847,9	3093,7	3507,4	5097	5062
105	2010107G23Rik	189,6	195,3	169,8	147	75,1	32,7	398	220,2	108,1	195	83,5	9,4
106	2010109A12Rik	0	0	0	0	0	33,2	38,6	0	0	63,5	0	5,7
107	2010109I03Rik	6	10,6	7,9	0	6,7	7,6	2	8,6	3,9	12,3	6,8	1,8
108	2010111I01Rik	278,9	282,9	325,5	656,2	731,7	414,6	502,6	154,5	459,8	477,8	489,9	810,2
109	2010300C02Rik	463	489,2	115,4	343,9	58,2	170,1	291,6	310,8	171	187	11,5	65,2
110	2010315B03Rik	280,5	212,2	114,5	126,9	314,7	258,6	90,7	180,7	209,4	147,4	221,9	192,5
111	2200002D01Rik	4,8	6,9	793,9	970,4	213,9	113,5	5,8	2,8	362,2	539,6	302,1	442,9
112	2210011C24Rik	11,2	19,4	0	10,3	13,4	0	8,2	0	0	31,9	5,6	7,5
113	2210013O21Rik	514,6	475,5	513,3	289,5	980,1	910,8	167	515	337,6	386,5	816,8	764,5
114	2210016F16Rik	619,5	597,4	884,5	1339,1	640	520	301	591,4	897,9	975,3	784	1002,6
115	2210016L21Rik	991,2	1257	408,3	591	473,6	489,3	636,2	432	457,6	678	565,2	587,3
116	2210408I21Rik	506,8	439	659	196,3	887,1	259,7	1279,4	1145,6	473,9	814	98,2	324,1
117	2210409E12Rik	9,1	7,3	0	0	0	0	3,2	0	0	0	16,3	159,7
118	2210418O10Rik	78,9	80,7	240,8	253,7	142,3	88	172,4	146,6	24,7	389,2	93,6	48,4
119	2300009A05Rik	276,8	234,2	193,2	283,3	195,1	260,7	331,7	225	276,8	271,7	207,1	210,8
120	2310009B15Rik	84,2	105,2	309,1	205,3	283,1	307,6	146,4	124	218,3	296,7	219,7	256,1
121	2310011J03Rik	370	425,6	515,7	547,6	440,6	376,2	434,7	601,8	575,5	479,9	448	701,7
122	2310022A10Rik	363,2	378,1	226,2	220,6	194,2	322,6	325,1	291,3	230,3	250,6	260,9	178,5
123	2310022B05Rik	249,8	248,1	225,5	301,4	473	194,4	113,7	223,3	206	155,1	330,9	441,1
124	2310030G06Rik	391,1	294	190,6	191,5	266,9	74,3	233,2	296,1	129,4	116,7	145,4	258,1
125	2310033P09Rik	191,9	231,5	343,2	277,5	190,7	231,7	120	239,3	323	257,7	215,2	298,3
126	2310034G01Rik	283,8	303,6	98	79,9	111,7	90,1	197,9	379,6	240,3	209,2	81,4	17,6
127	2310035C23Rik	787,7	610,9	525,7	698,1	487,1	298,7	222,1	561,4	551	250,7	391,1	377,8
128	2310039H08Rik	248,4	258,6	405,2	333,1	309	492,9	262,3	243,8	293,2	314,6	310,9	318,1
129	2310057M21Rik	314,9	299,7	207,1	265,8	323,1	43,9	330,4	231,8	101,4	188,5	191,7	195,6
130	2310061I04Rik	606,2	511,1	578,1	962,6	451,4	290,9	479,2	702,1	450,9	500,4	398,4	295,8
131	2410002F23Rik	319,7	374,9	1064,6	1036,6	729,2	354,6	598,9	401,3	714,6	662,7	787,8	891,8
132	2410004B18Rik	415	353,8	438,7	309,1	378,9	156,7	246,5	505,2	396,9	240	525,2	503,3
133	2410004P03Rik	8481	9600,5	4362	3591,5	4896,7	3077,4	9958,4	10319,8	5808,1	6192,5	1366,9	801,4
134	2410015M20Rik	794,8	789,2	1319,7	1662,1	1106,9	1123,7	1087,1	1123,8	1353,6	1324,3	1297,4	1455,4
135	2410024N13Rik	19,1	13,5	23,7	12,2	7,2	17	9,5	7,9	6,4	9,6	4,5	13,5
136	2410089E03Rik	345,2	414,7	645,2	274,5	554,6	1070,2	787,6	303,1	174,9	388,4	192,7	256,9
137	2410131K14Rik	358,3	334,3	226,2	189,2	216	250,8	364,1	254,8	261,8	213	234,9	221,6
138	2510002D24Rik	318,8	325,9	313,8	350	278,4	359,2	221,7	209,9	196,9	319,1	281	265,3
139	2510009E07Rik	472,7	430,1	260,2	341,7	438,2	717,8	363,1	436,1	329,4	0	490,8	462
140	2510039O18Rik	43,7	48,1	88	189	130,1	66,1	48,4	4	166,9	110,1	195,7	120
141	2610001J05Rik	1942,4	1755,5	2375,8	2073,4	2571,3	1954,4	1640,6	2087,5	2413,9	2068,2	2609,7	2695
142	2610002M06Rik	431	374	314,7	423,5	283,7	132	29,6	453,1	388,7	246,4	365,3	339,5
143	2610005L07Rik	585	547,3	451,1	308,9	357,5	287,3	535,8	536,2	592	296,6	462,7	550,8
144	2610008E11Rik	798,8	656,9	49,4	428,7	221,6	265,2	647,9	457,5	265,3	247,6	287,7	336
145	2610021A01Rik	296,8	330	187,7	135,3	114,4	139,3	179,3	130,2	172,4	160,9	166,8	61,6
146	2610028H24Rik	0	0	53,1	0	22,5	0	0	67,1	0	133,9	22,6	0
147	2610044O15Rik8	702,6	636,9	430,1	522,6	637,6	579,3	779,8	875,2	575,5	567,7	487	583,1
148	2610301B20Rik	5459,1	5084	2506,4	2224,7	3025,3	3158,3	6861,9	6854,3	3691,3	4481,4	1957,5	1097,5
149	2610318N02Rik	0	0	0	0	0	0	0	0	0	0	53,8	51,5
150	2610507B11Rik	1578,3	1531,2	1480,7	1740,4	1003,3	1239,2	404,3	1056,3	1698,1	722,9	641,2	1411
151	2610524H06Rik	196,5	178,8	436,8	268,2	563,2	543,1	379,1	349,3	255,6	432,2	591,2	523,3
152	2700049A03Rik	519,1	361,2	232,1	199,7	249,8	254,3	231,3	97,7	229,9	68,3	123,9	347,2
153	2700060E02Rik	1417	1356,4	2167,3	2088,6	2309,2	1751,9	1228	2127,9	1530,5	2120,1	2842,1	2753,3
154	2700062C07Rik	360,4	299,5	196,7	482,3	267,7	224	506,5	272,7	130,4	240,4	180,6	253,3
155	2700081O15Rik	111	102,7	240,9	119,1	206	218,1	88,8	221,4	125	127,2	274,7	112
156	2700097O09Rik	232,3	239,8	312,9	456,5	147,6	352,2	109,7	156,1	340,8	385,6	340,6	188,1
157	2700099C18Rik	10,4	5,6	127,1	116,7	70,8	0	7,8	0	11,8	84,9	352,5	306,8
